Product Name,Product URL,Brand,Sale Price,Mrp,Discount Percentage,Number Of Ratings,Number Of Reviews,Upc,Star Rating,Ram
"XOLO T1000 (Black, 4 GB)",https://www.flipkart.com/xolo-t1000-black-4-gb/p/itmdmnpqsasmcvsp?pid=MOBDMKDAKQGCYZ6D,XOLO,14153,14153,0,333,130,MOBDMKDAKQGCYZ6D,3.8,1 GB
"GIONEE Pioneer P3 (White, 4 GB)",https://www.flipkart.com/gionee-pioneer-p3-white-4-gb/p/itmeuyd9mrwucapm?pid=MOBDRKHTA3UXHAVD,GIONEE,6500,6500,0,437,78,MOBDRKHTA3UXHAVD,3.6,512 MB
"KARBONN Titanium S4 (Black, 4 GB)",https://www.flipkart.com/karbonn-titanium-s4-black-4-gb/p/itmeuyd7ngtjukx2?pid=MOBDRYWHA3ZU9BRT,KARBONN,13298,13298,0,28,7,MOBDRYWHA3ZU9BRT,3.3,1 GB
"KARBONN Titanium S4 (White, 4 GB)",https://www.flipkart.com/karbonn-titanium-s4-white-4-gb/p/itmeuyd7ngtjukx2?pid=MOBDRYWHFVVQHQVZ,KARBONN,14990,14990,0,28,7,MOBDRYWHFVVQHQVZ,3.3,1 GB
"Micromax Bolt A71 (Black, 165 MB)",https://www.flipkart.com/micromax-bolt-a71-black-165-mb/p/itmevt7suv5djbyw?pid=MOBDSMAJ5UUJUDDE,Micromax,6499,7499,13,61,8,MOBDSMAJ5UUJUDDE,3.1,512 MB
"Lenovo S930 (Silver, 8 GB)",https://www.flipkart.com/lenovo-s930-silver-8-gb/p/itmdsn9rwdsnetyc?pid=MOBDSN9HMAYFGMVY,Lenovo,13604,13604,0,104,35,MOBDSN9HMAYFGMVY,4.3,1 GB
"Micromax Canvas Elanza A93 (Black Silver, 4 GB)",https://www.flipkart.com/micromax-canvas-elanza-a93-black-silver-4-gb/p/itmeuyd928cktuxr?pid=MOBDTHG6ECNAFGQA,Micromax,7700,7700,0,105,24,MOBDTHG6ECNAFGQA,3.4,1 GB
"KARBONN A19 (Black Silver, 4 GB)",https://www.flipkart.com/karbonn-a19-black-silver-4-gb/p/itmeuyd5jhhqegjx?pid=MOBDTSDFMEPZP4WT,KARBONN,6999,6999,0,55,8,MOBDTSDFMEPZP4WT,3.4,512 MB
"LG L90 Dual (White, 8 GB)",https://www.flipkart.com/lg-l90-dual-white-8-gb/p/itmduhducxydbdah?pid=MOBDUHDUCXYDBDAH,LG,15532,15532,0,450,146,MOBDUHDUCXYDBDAH,4.2,1 GB
"LG Optimus L70 (Black, 4 GB)",https://www.flipkart.com/lg-optimus-l70-black-4-gb/p/itme6jeyz2qtffu8?pid=MOBDV25HDHGZTQZZ,LG,12791,12791,0,79,17,MOBDV25HDHGZTQZZ,4.1,1 GB
"LG G Pro 2 (Titan, 16 GB)",https://www.flipkart.com/lg-g-pro-2-titan-16-gb/p/itmeuyd6rwntrvba?pid=MOBDVRGDJUYNH4CC,LG,42021,42021,0,243,74,MOBDVRGDJUYNH4CC,4.5,3 GB
"MI3 (Metallic Grey, 16 GB)",https://www.flipkart.com/mi3-metallic-grey-16-gb/p/itmdxsvrrerjhztf?pid=MOBDXSVH7HHHNK8J,MI3,13999,13999,0,15184,5132,MOBDXSVH7HHHNK8J,4.4,2 GB
"ASUS Zenfone 4 (Red, 8 GB)",https://www.flipkart.com/asus-zenfone-4-red-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZ9W2TG79YJR,ASUS,7499,7499,0,31375,4476,MOBDXZ9W2TG79YJR,3.9,1 GB
"ASUS Zenfone 5 A501CG (Gold, 8 GB)",https://www.flipkart.com/asus-zenfone-5-a501cg-gold-8-gb/p/itmeuydansgfvjtp?pid=MOBDXZ9W7DHYYWEP,ASUS,8499,8499,0,43279,8926,MOBDXZ9W7DHYYWEP,4.2,2 GB
"ASUS Zenfone 4 (Yellow, 8 GB)",https://www.flipkart.com/asus-zenfone-4-yellow-8-gb/p/itmeuyd8dqe79wcm?pid=MOBDXZAYUUSQVNYW,ASUS,7499,7499,0,31375,4476,MOBDXZAYUUSQVNYW,3.9,1 GB
"Micromax Canvas 2 Colors A120 (Grey, 4 GB)",https://www.flipkart.com/micromax-canvas-2-colors-a120-grey-4-gb/p/itmevt7upzzvjb9d?pid=MOBDYR2EU5Q2RXHG,Micromax,9005,9005,0,4963,745,MOBDYR2EU5Q2RXHG,3.9,1 GB
"HPL A35 (Black, 512 MB)",https://www.flipkart.com/hpl-a35-black-512-mb/p/itmdz5wb8fce6mng?pid=MOBDZ5WBYTYMFFPK,HPL,1190,1190,0,10,0,MOBDZ5WBYTYMFFPK,2.9,256 MB
